method,path,latency
GET,/api/events,127.88939476013184
POST,/api/events/watch,108.81638526916504
POST,/api/events/import,106.56046867370605
GET,/api/events,107.4056625366211
POST,/api/events/watch,108.80208015441895
POST,/api/events/quickAdd,107.58709907531738
GET,/api/events,108.79230499267578
POST,/api/events/watch,107.11407661437988
GET,/api/events,107.93900489807129
POST,/api/events,108.65926742553711
POST,/api/events/quickAdd,108.21938514709473
POST,/api/events/quickAdd,108.61992835998535
GET,/api/events,106.7652702331543
GET,/api/events,108.31570625305176
POST,/api/events/import,108.78872871398926
POST,/api/events/watch,105.61823844909668
POST,/api/events/import,108.11662673950195
POST,/api/events/import,106.79864883422852
GET,/api/events,108.58774185180664
POST,/api/events/watch,108.4599494934082
POST,/api/events/watch,108.40225219726562
GET,/api/events,108.8719367980957
POST,/api/events/quickAdd,108.42061042785645
POST,/api/events/import,106.31227493286133
POST,/api/events/watch,108.0784797668457
POST,/api/events/import,108.39080810546875
GET,/api/events,108.55627059936523
GET,/api/events,107.03372955322266
POST,/api/events/import,108.17718505859375
GET,/api/events,107.48744010925293
GET,/api/events,108.26468467712402
POST,/api/events/watch,107.65814781188965
POST,/api/events,106.3845157623291
POST,/api/events/watch,106.9021224975586
GET,/api/events,107.35225677490234
GET,/api/events,107.77044296264648
POST,/api/events/quickAdd,108.11448097229004
POST,/api/events/watch,108.33597183227539
POST,/api/events,107.86581039428711
GET,/api/events,106.63771629333496
POST,/api/events/watch,107.22851753234863
POST,/api/events/import,108.07371139526367
POST,/api/events/import,106.63437843322754
GET,/api/events,108.43110084533691
POST,/api/events,108.12211036682129
POST,/api/events/import,107.90252685546875
POST,/api/events/import,106.292724609375
GET,/api/events,106.98556900024414
GET,/api/events,107.87725448608398
POST,/api/events/import,106.35113716125488
POST,/api/events/watch,108.84809494018555
POST,/api/events,108.27350616455078
POST,/api/events/import,107.17606544494629
GET,/api/events,108.1089973449707
POST,/api/events/watch,106.53281211853027
POST,/api/events,106.82415962219238
GET,/api/events,107.83815383911133
GET,/api/events,106.95600509643555
POST,/api/events/import,107.73754119873047
GET,/api/events,108.37578773498535
POST,/api/events/watch,108.04033279418945
POST,/api/events/import,105.86023330688477
POST,/api/events/watch,106.42051696777344
POST,/api/events/quickAdd,108.1228256225586
POST,/api/events,105.63158988952637
POST,/api/events,105.86404800415039
GET,/api/events,107.12003707885742
GET,/api/events,108.36458206176758
POST,/api/events/quickAdd,109.5740795135498
POST,/api/events,106.73165321350098
POST,/api/events/quickAdd,107.57637023925781
POST,/api/events/watch,108.07561874389648
POST,/api/events/watch,107.96475410461426
GET,/api/events,108.64615440368652
POST,/api/events,107.68961906433105
GET,/api/events,108.23559761047363
POST,/api/events/quickAdd,106.08458518981934
POST,/api/events/watch,108.14666748046875
POST,/api/events/import,106.29630088806152
POST,/api/events/watch,105.99541664123535
POST,/api/events/watch,107.99074172973633
GET,/api/events,106.25529289245605
POST,/api/events/watch,107.6359748840332
POST,/api/events/watch,108.06894302368164
POST,/api/events/import,107.09309577941895
POST,/api/events,107.88607597351074
POST,/api/events/quickAdd,107.91873931884766
POST,/api/events,107.9857349395752
POST,/api/events/import,106.68516159057617
POST,/api/events,107.71965980529785
POST,/api/events,108.2007884979248
POST,/api/events/watch,108.73770713806152
POST,/api/events/quickAdd,108.10494422912598
GET,/api/events,107.93304443359375
POST,/api/events/watch,106.45747184753418
POST,/api/events/quickAdd,107.70225524902344
GET,/api/events,107.53846168518066
POST,/api/events/quickAdd,105.8206558227539
POST,/api/events/watch,108.34074020385742
POST,/api/events,108.09659957885742
POST,/api/events/watch,108.01291465759277
POST,/api/events,107.80763626098633
POST,/api/events,107.48434066772461
POST,/api/events/quickAdd,107.06233978271484
POST,/api/events/watch,108.63399505615234
POST,/api/events/watch,106.07147216796875
POST,/api/events/watch,107.13672637939453
POST,/api/events/quickAdd,107.72705078125
POST,/api/events,107.21707344055176
POST,/api/events/import,106.21881484985352
POST,/api/events/watch,108.88481140136719
POST,/api/events/watch,106.5833568572998
POST,/api/events,106.44698143005371
GET,/api/events,107.53750801086426
POST,/api/events/watch,107.65743255615234
POST,/api/events/import,108.39056968688965
POST,/api/events,107.8486442565918
POST,/api/events/watch,108.30354690551758
POST,/api/events/quickAdd,106.70304298400879
GET,/api/events,107.6512336730957
POST,/api/events/watch,107.57327079772949
GET,/api/events,108.13331604003906
POST,/api/events/import,106.9951057434082
POST,/api/events/watch,107.38968849182129
GET,/api/events,107.38277435302734
POST,/api/events/quickAdd,108.01243782043457
POST,/api/events,106.24122619628906
POST,/api/events,105.8955192565918
GET,/api/events,108.42251777648926
GET,/api/events,107.43093490600586
POST,/api/events/import,108.48546028137207
POST,/api/events/quickAdd,107.66863822937012
POST,/api/events/quickAdd,105.95417022705078
POST,/api/events/import,107.93948173522949
POST,/api/events/import,108.78396034240723
POST,/api/events/quickAdd,108.33263397216797
GET,/api/events,104.9342155456543
GET,/api/events,108.77847671508789
POST,/api/events,108.28304290771484
POST,/api/events/watch,107.13052749633789
GET,/api/events,106.67634010314941
POST,/api/events/watch,108.09135437011719
POST,/api/events/quickAdd,107.1016788482666
POST,/api/events/quickAdd,107.38921165466309
POST,/api/events/watch,108.20960998535156
POST,/api/events,108.85047912597656
POST,/api/events/quickAdd,108.15548896789551
POST,/api/events,107.53941535949707
POST,/api/events/watch,108.02888870239258
POST,/api/events/quickAdd,108.3059310913086
POST,/api/events,105.63516616821289
POST,/api/events/watch,107.04922676086426
POST,/api/events,106.73260688781738
POST,/api/events/watch,107.07640647888184
GET,/api/events,106.29773139953613
POST,/api/events/quickAdd,108.27422142028809
POST,/api/events/quickAdd,106.2173843383789
POST,/api/events,106.8124771118164
POST,/api/events,108.72316360473633
POST,/api/events/quickAdd,108.40296745300293
POST,/api/events,108.03437232971191
GET,/api/events,107.9103946685791
POST,/api/events/import,108.44087600708008
GET,/api/events,107.25259780883789
POST,/api/events/import,107.78665542602539
POST,/api/events,108.2298755645752
POST,/api/events/import,108.04176330566406
GET,/api/events,108.16740989685059
GET,/api/events,106.71758651733398
POST,/api/events/import,107.85484313964844
POST,/api/events/watch,108.6282730102539
POST,/api/events,108.72673988342285
POST,/api/events/import,108.62374305725098
POST,/api/events/quickAdd,107.77592658996582
GET,/api/events,109.25674438476562
POST,/api/events/watch,108.85286331176758
GET,/api/events,108.64973068237305
GET,/api/events,105.62872886657715
POST,/api/events/import,108.56819152832031
POST,/api/events,106.42027854919434
POST,/api/events,108.60252380371094
POST,/api/events/import,108.06441307067871
POST,/api/events/import,106.99176788330078
POST,/api/events/import,107.41519927978516
POST,/api/events,108.7026596069336
POST,/api/events,106.33325576782227
POST,/api/events/watch,107.6192855834961
GET,/api/events,107.48767852783203
POST,/api/events/import,108.52861404418945
POST,/api/events/watch,108.1995964050293
POST,/api/events/quickAdd,107.02133178710938
GET,/api/events,105.47685623168945
POST,/api/events,108.91056060791016
POST,/api/events,108.73579978942871
POST,/api/events,107.70964622497559
POST,/api/events,108.2298755645752
POST,/api/events/watch,108.10589790344238
POST,/api/events/watch,106.31871223449707
POST,/api/events/watch,106.89640045166016
GET,/api/events,108.99972915649414
POST,/api/events/import,107.71298408508301
POST,/api/events/import,108.07681083679199
POST,/api/events/quickAdd,108.70790481567383
POST,/api/events,108.40797424316406
POST,/api/events/quickAdd,107.77854919433594
GET,/api/events,106.65774345397949
POST,/api/events,108.07132720947266
POST,/api/events/import,109.94577407836914
POST,/api/events,108.31069946289062
POST,/api/events/watch,107.87367820739746
POST,/api/events/watch,106.17518424987793
POST,/api/events/import,103.60026359558105
POST,/api/events/import,103.33895683288574
GET,/api/events,105.23533821105957
POST,/api/events/import,104.68888282775879
GET,/api/events,105.88407516479492
POST,/api/events/import,104.78973388671875
POST,/api/events,105.6516170501709
POST,/api/events/watch,105.12495040893555
POST,/api/events/import,105.44395446777344
POST,/api/events/import,105.55481910705566
POST,/api/events,105.61919212341309
POST,/api/events/import,105.22174835205078
POST,/api/events/quickAdd,104.86483573913574
POST,/api/events,104.7518253326416
POST,/api/events/import,105.31854629516602
GET,/api/events,105.66449165344238
POST,/api/events,107.2995662689209
GET,/api/events,104.34222221374512
POST,/api/events/watch,105.66520690917969
POST,/api/events/quickAdd,103.9421558380127
POST,/api/events/import,104.08592224121094
GET,/api/events,106.5680980682373
POST,/api/events/watch,105.93271255493164
POST,/api/events,102.68616676330566
POST,/api/events/quickAdd,103.43170166015625
POST,/api/events/quickAdd,105.26847839355469
POST,/api/events/watch,106.02235794067383
POST,/api/events/quickAdd,106.02569580078125
GET,/api/events,105.92198371887207
POST,/api/events/watch,105.12137413024902
POST,/api/events/import,105.60083389282227
POST,/api/events/quickAdd,105.67808151245117
GET,/api/events,106.2021255493164
POST,/api/events/watch,105.61537742614746
POST,/api/events/quickAdd,102.77199745178223
POST,/api/events/import,104.78353500366211
POST,/api/events,106.00042343139648
POST,/api/events/import,103.24406623840332
POST,/api/events/import,106.18782043457031
POST,/api/events/import,105.98206520080566
POST,/api/events,106.49800300598145
POST,/api/events/quickAdd,103.64627838134766
POST,/api/events/quickAdd,104.90608215332031
POST,/api/events/watch,105.34548759460449
GET,/api/events,105.74126243591309
GET,/api/events,106.1558723449707
GET,/api/events,105.69167137145996
GET,/api/events,105.67402839660645
POST,/api/events/import,105.77154159545898
POST,/api/events/quickAdd,105.31497001647949
POST,/api/events/import,103.42955589294434
GET,/api/events,104.09331321716309
POST,/api/events/import,106.03761672973633
POST,/api/events/quickAdd,105.35001754760742
POST,/api/events,105.71837425231934
POST,/api/events,103.74855995178223
POST,/api/events/import,104.62450981140137
GET,/api/events,105.61323165893555
