"""Stateful"" Auth acc Server Side",Macaroon acc Server Side,"""Stateful"" Auth Request acc E2E Lat",Macaroon Request acc E2E Lat,"""Stateful"" Auth deny Server Side",Macaroon deny Server Side,"""Stateful"" Auth Request deny E2E Lat",Macaroon Request deny E2E Lat
3.819704056,2.360582352,109.3068123,107.5079441,3.830432892,2.636909485,109.8639965,108.9365482
3.860235214,2.387046814,109.3227863,108.6773872,3.906011581,2.437114716,109.3726158,106.9869995
3.754854202,2.332925797,110.5761528,108.9348793,3.908157349,2.495288849,110.9991074,106.9085598
3.828048706,2.360343933,110.2664471,109.3456745,3.913402557,2.47335434,109.5218658,109.2524529
3.903627396,2.372503281,108.145237,106.815815,3.857135773,2.627372742,108.8171005,107.6791286
3.831386566,2.373218536,108.6332798,106.0905457,3.852367401,2.482175827,111.5472317,109.2410088
3.779172897,2.310037613,110.8431816,109.1048717,3.8189888,2.400636673,110.0208759,107.0842743
3.848075867,2.39777565,110.7401848,108.8445187,3.890752792,2.415895462,107.912302,107.3663235
3.808498383,2.314090729,108.2661152,109.1187,3.912687302,2.401351929,109.9476814,106.9736481
3.820419312,2.297639847,109.899044,108.8650227,3.840446472,2.640962601,111.1385822,107.6815128
